pm10,pm2.5,so2,co,o3,no2,category
10,30,0,18,0,4,Baik
12,35,0,18,0,4,Baik
20,53,0,18,0,3,Sedang
35,70,0,23,0,4,Sedang
32,66,0,23,0,3,Sedang
26,61,0,21,0,3,Sedang
24,58,0,22,0,4,Sedang
23,57,0,20,0,3,Sedang
26,60,0,22,0,4,Sedang
22,55,0,20,0,4,Sedang
29,64,0,20,0,4,Sedang
21,55,0,20,0,4,Sedang
33,68,0,22,0,3,Sedang
26,60,0,20,0,4,Sedang
20,54,0,20,0,5,Sedang
22,55,0,21,0,4,Sedang
13,37,0,15,0,3,Baik
15,43,0,18,0,4,Baik
22,55,0,20,0,4,Sedang
36,72,0,22,0,5,Sedang
38,73,0,23,0,5,Sedang
42,79,0,24,0,5,Sedang
40,75,0,20,0,4,Sedang
35,70,0,19,0,5,Sedang
50,89,0,23,0,5,Sedang
45,82,0,22,0,6,Sedang
42,79,0,23,0,5,Sedang
25,58,0,19,0,3,Sedang
17,49,0,18,0,3,Baik
17,49,0,19,0,3,Baik
9,26,0,16,0,2,Baik
12,36,0,18,0,3,Baik
18,37,13,15,13,5,Baik
11,33,7,17,0,2,Baik
15,43,10,19,0,3,Baik
15,45,11,20,0,3,Baik
19,52,4,19,0,3,Sedang
20,53,0,20,0,3,Sedang
32,68,0,24,0,4,Sedang
35,72,0,25,0,3,Sedang
20,53,0,21,0,3,Sedang
13,38,0,18,0,4,Baik
17,48,2,19,0,4,Baik
17,49,0,18,0,3,Baik
19,53,0,16,0,4,Sedang
26,60,0,20,0,4,Sedang
23,57,0,21,0,4,Sedang
25,60,0,21,0,5,Sedang
18,50,1,19,0,5,Baik
23,58,7,19,1,6,Sedang
21,57,13,9,15,6,Sedang
13,39,5,10,28,5,Baik
15,45,7,12,14,4,Baik
16,47,10,14,16,4,Baik
17,49,13,16,18,3,Baik
19,53,17,18,17,3,Sedang
22,56,15,14,23,3,Sedang
20,54,12,11,27,3,Sedang
16,49,12,12,25,2,Baik
19,52,12,12,26,3,Sedang
21,55,14,14,28,3,Sedang
25,60,14,15,22,2,Sedang
19,53,7,9,13,0,Sedang
22,56,20,16,8,0,Sedang
20,53,21,12,7,0,Sedang
13,39,21,9,6,0,Baik
28,63,31,12,6,0,Sedang
20,54,30,6,10,0,Sedang
17,53,5,12,13,3,Sedang
16,44,0,9,27,2,Baik
16,35,5,10,30,2,Baik
16,55,28,16,27,3,Sedang
16,48,17,8,20,2,Baik
16,41,0,0,0,0,Baik
16,34,1,1,1,0,Baik
14,44,1,1,1,0,Baik
14,38,0,0,0,0,Baik
15,40,4,3,5,1,Baik
14,41,22,13,26,3,Baik
12,33,16,8,29,2,Baik
12,36,13,7,31,2,Baik
12,35,15,10,29,2,Baik
15,44,15,11,27,3,Baik
14,40,14,10,27,2,Baik
13,46,13,10,22,3,Baik
11,41,1,1,1,0,Baik
11,39,0,0,0,0,Baik
10,22,3,2,3,1,Baik
2,2,18,13,20,3,Baik
